Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand
payfactors,1,1,2400,80,1.92,https://payfactors.com/,1920,59.9,3686,0.03,635000,"[83,66,55,83,66,83,83,83,83,83,83,100]",2020-01-04,"Knowledge panel, Image pack, Sitelinks, Reviews, Video",,Organic,Branded
david goggins,27,19,165000,73,1.5,https://payfactors.com/david-goggins-comp-coffee/,247,7.7,371,0.01,3380000,"[16,16,100,55,37,37,30,24,24,37,45,30]",2020-02-01,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Video Carousel, People also ask",,Organic,Non-Branded
ltip,2,2,1600,21,1.66,https://blog.curocomp.com/long-term-incentive-plans,208,19.43,345,0.01,1540000,"[54,54,67,54,67,67,67,67,67,79,100,100]",2021-06-25,"Knowledge panel, Video, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
pay factors,1,1,210,82,8.17,https://payfactors.com/,168,5.24,1372,0.01,394000000,"[66,53,44,81,81,81,100,81,66,66,66,66]",2020-01-05,"Sitelinks, Reviews",,Organic,Branded
payfactors login,1,1,140,71,0,https://payfactors.com/,112,3.49,0,0,95,"[54,54,35,65,42,35,65,54,42,54,100,81]",2020-01-08,"Image pack, Sitelinks, Reviews, Video",,Organic,Branded
ltip compensation,1,1,210,14,1.97,https://blog.curocomp.com/long-term-incentive-plans,98,9.15,194,0.03,206000,"[19,65,81,54,35,100,81,100,100,100,81,65]",2021-06-30,"Video, Featured snippet, People also ask",,Organic,Non-Branded
long term incentive plan,2,2,720,19,2.85,https://blog.curocomp.com/long-term-incentive-plans,93,8.69,266,0.16,85600000,"[59,59,59,59,72,59,59,59,72,72,88,100]",2021-06-29,"Knowledge panel, Top stories, Video, Featured snippet, People also ask",,Organic,Non-Branded
payfactors careers,1,1,110,62,0,https://payfactors.com/careers/,88,2.74,0,0,251000,"[100,64,50,64,79,100,79,79,79,79,79,79]",2020-01-28,"Image pack, Sitelinks, Reviews, Jobs search",,Organic,Branded
curo,4,4,5400,63,3.33,https://curocomp.com/,75,7,251,0.02,6130000,"[100,67,67,54,54,44,54,44,100,54,54,54]",2021-06-30,"Instant answer, Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, FAQ",,Organic,Branded
l tip,2,2,390,22,1.75,https://blog.curocomp.com/long-term-incentive-plans,50,4.67,88,0,1360000000,"[4,5,5,6,5,5,7,9,11,17,68,100]",2021-06-18,"Knowledge panel, Image pack, Reviews, Featured snippet, People also ask",,Organic,Non-Branded
desired compensation,12,12,3600,73,15.14,https://payfactors.com/candidate-desired-compensation-too-high/,46,1.43,708,0.01,82800000,"[82,66,66,100,82,82,82,82,100,82,82,82]",2020-01-31,"Image pack, Video, Featured snippet",,Organic,Non-Branded
cash compensation,1,4,90,77,3.59,https://payfactors.com/base-salary-vs-total-cash-compensation/,42,1.31,151,0.05,307000000,"[64,82,82,100,100,82,100,100,82,100,82,100]",2020-01-14,Featured snippet,,Organic,Non-Branded
payfactors salary budget survey,1,1,50,38,4.27,https://info.payfactors.com/salary-budget-survey-2019,40,1.24,170,0.3,65,"[0,0,0,0,0,0,0,0,0,50,100,50]",2020-01-26,"Image pack, Reviews",,Organic,Branded
curo login,1,4,70,10,0,https://customersupport.curocomp.com/portal/en/signin,32,2.99,0,0.02,2880000,"[25,25,100,25,25,25,100,25,25,25,25,75]",2021-06-08,Reviews,,Organic,Branded
curo compensation,1,1,40,32,3.96,https://curocomp.com/,32,2.99,126,0.12,87,"[100,25,75,25,50,25,25,25,25,75,25,25]",2021-06-16,"Top stories, Image pack, Sitelinks, Reviews",,Organic,Branded
what is ltip compensation,1,3,70,12,0,https://blog.curocomp.com/long-term-incentive-plans,32,2.99,0,0.01,599000,"[100,43,14,57,29,14,14,14,14,29,14,14]",2021-06-11,"Video, Featured snippet, People also ask",,Organic,Non-Branded
part time employment letter template,1,1,70,74,2.17,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,32,0.99,71,0.21,292000000,"[11,22,22,22,11,44,11,11,22,100,11,11]",2019-12-31,"Image pack, Sitelinks",,Organic,Non-Branded
at will employment offer letter,1,1,70,80,2.15,https://payfactors.com/will-job-offer-letters-write-free-template/,32,0.99,70,0.14,266000000,"[60,20,20,80,20,60,60,40,20,100,60,60]",2020-01-04,"Image pack, Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
offer letter for part time employee,1,1,70,74,2.32,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,32,0.99,76,0.17,216000000,"[14,14,14,14,14,14,14,29,14,14,100,29]",2019-12-22,"Image pack, Sitelinks",,Organic,Non-Branded
long term incentive plan examples,2,2,210,26,3.17,https://blog.curocomp.com/long-term-incentive-plans,27,2.52,86,0.23,77000000,"[23,23,23,29,29,35,44,44,67,81,81,100]",2021-06-30,"Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
what is desired compensation,11,11,590,75,7.25,https://payfactors.com/candidate-desired-compensation-too-high/,27,0.84,201,0.01,73300000,"[82,67,67,100,82,82,67,82,100,82,82,67]",2019-12-31,"Image pack, Featured snippet",,Organic,Non-Branded
base salary,13,12,2900,79,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,26,0.81,0,0,2220000000,"[81,67,67,100,81,81,81,81,81,81,81,81]",2020-01-03,"Knowledge panel, Sitelinks, Reviews",,Organic,Non-Branded
ltip bonus,3,2,260,25,1.79,https://blog.curocomp.com/long-term-incentive-plans,23,2.14,41,0.01,150000,"[54,44,44,44,54,44,54,44,44,67,100,100]",2021-06-17,"Featured snippet, People also ask",,Organic,Non-Branded
long term incentive,3,3,260,21,1.66,https://blog.curocomp.com/long-term-incentive-plans,23,2.14,38,0.07,113000000,"[44,35,35,35,35,35,54,54,81,67,81,100]",2021-06-30,"Knowledge panel, Top stories, Video, Featured snippet, People also ask",,Organic,Non-Branded
when a candidate's salary expectations are too high,1,1,50,68,0,https://payfactors.com/candidate-desired-compensation-too-high/,23,0.71,0,0,340000,"[14,14,14,29,29,71,100,14,14,14,43,29]",2019-12-23,,,Organic,Non-Branded
what is ltip,2,2,170,21,1.6,https://blog.curocomp.com/long-term-incentive-plans,22,2.05,35,0.01,362000,"[54,42,42,65,54,54,54,54,42,81,81,100]",2021-06-04,"Knowledge panel, Video Carousel, People also ask",,Organic,Non-Branded
compensation review,2,5,170,20,2.44,https://blog.curocomp.com/how-to-handle-compensation-reviews,22,2.05,53,0.06,361000000,"[34,28,34,44,34,53,53,44,53,53,81,100]",2021-06-03,"Reviews, Video Carousel, People also ask",,Organic,Non-Branded
